Erecoil_keV,pdf,cdf
0.003338,6.66145189565751,0.9972364123829
0.003339,6.64780552561094,0.997243067011611
0.00334,6.63418358844763,0.997249708006168
0.003341,6.62058604366904,0.997256335390984
0.003342,6.60701285118865,0.997262949190431
0.003343,6.59346397080912,0.997269549428842
0.003344,6.57993936239669,0.997276136130509
0.003345,6.56643898596718,0.997282709319683
0.003346,6.55296280151292,0.997289269020577
0.003347,6.53951076917552,0.997295815257362
0.003348,6.52608284907336,0.997302348054171
0.003349,6.51267900147305,0.997308867435097
0.00335,6.49929918661868,0.997315373424191
0.003351,6.48594336481721,0.997321866045466
0.003352,6.47261149669174,0.997328345322897
0.003353,6.45930354233612,0.997334811280416
0.003354,6.44601946266619,0.997341263941919
0.003355,6.43275921798594,0.997347703331259
0.003356,6.4195227692494,0.997354129472253
0.003357,6.40631007688603,0.997360542388676
0.003358,6.393121101806,0.997366942104265
0.003359,6.37995580489673,0.997373328642719
0.00336,6.3668141470247,0.997379702027695
0.003361,6.35369608911808,0.997386062282813
0.003362,6.34060159224931,0.997392409431654
0.003363,6.32753061738775,0.997398743497758
0.003364,6.31448312605674,0.99740506450463
0.003365,6.30145907902001,0.997411372475733
0.003366,6.28845843767776,0.997417667434491
0.003367,6.27548116357096,0.997423949404292
0.003368,6.26252721789427,0.997430218408482
0.003369,6.24959656214796,0.997436474470372
0.00337,6.23668915797327,0.997442717613232
0.003371,6.22380496674907,0.997448947860295
0.003372,6.21094395023796,0.997455165234753
0.003373,6.19810607018188,0.997461369759764
0.003374,6.18529128814298,0.997467561458443
0.003375,6.17249956614433,0.99747374035387
0.003376,6.15973086602882,0.997479906469086
0.003377,6.14698514969978,0.997486059827094
0.003378,6.1342623792003,0.997492200450858
0.003379,6.12156251655405,0.997498328363306
0.00338,6.10888552384487,0.997504443587326
0.003381,6.09623136329571,0.99751054614577
0.003382,6.08359999718845,0.99751663606145
0.003383,6.07099138778633,0.997522713357143
