EV	DT	TS	P	Type	E1	D3	PX3	PY3	PZ3	X3	Y3	Z3	time3	PX1	PY1	PZ1	X1	Y1	Z1	time1	nCap	
5216	1	900002	600000	22	0.4452837013	0	-0.05960392377	-0.1059780985	0.1091879615	-31.93719247	26.2894154	37.64576953	2.894743005	0.165624662	0.345435356	-0.2269811905	-37.60603684	14.46618055	45.41466717	2.843905336	0	
5216	1	900003	600000	22	0.1634196929	0	-0.0544794455	-0.1312898022	-0.02759796537	-31.98102728	26.21147538	37.72607019	2.895143897	-0.05960392377	-0.1059780985	0.1091879615	-31.93719247	26.2894154	37.64576953	2.894743005	0	
5216	1	900004	600000	22	0.1447987218	0	-0.06193995138	0.06237000649	-0.06298483096	-35.41781431	17.9291758	35.98507726	2.925613302	-0.0544794455	-0.1312898022	-0.02759796537	-31.98102728	26.21147538	37.72607019	2.895143897	0	
5216	1	900005	600000	22	0.1081372471	0	0.04906434528	-0.04638214466	-0.05148327412	-41.37203792	23.92474016	29.93041046	2.960287696	-0.06193995138	0.06237000649	-0.06298483096	-35.41781431	17.9291758	35.98507726	2.925613302	0	
5216	1	900006	600000	22	0.08490665955	0	0.04019514204	-0.06080247629	-0.04285683809	-40.41345706	23.01856203	28.92457046	2.965820991	0.04906434528	-0.04638214466	-0.05148327412	-41.37203792	23.92474016	29.93041046	2.960287696	0	
5216	1	900007	600000	22	0.08455352824	0.011103	0	-0	-0	-39.245374	21.25162358	27.6791377	2.974017165	0.04019514204	-0.06080247629	-0.04285683809	-40.41345706	23.01856203	28.92457046	2.965820991	0	
5216	1	1600001	900000	11	0.07345052824	0.07345052824	0	0	-0	-39.2430152	21.25418085	27.67658546	2.974046821	0.1550685803	0.1681158443	-0.1677857507	-39.245374	21.25162358	27.6791377	2.974017165	0	
5216	1	1500001	900000	11	0.0003531313082	0.0003531313082	0	0	-0	-40.41345614	23.01856353	28.92456956	2.965821168	0.00886920324	0.01442033163	-0.008626436028	-40.41345706	23.01856203	28.92457046	2.965820991	0	
5216	1	1400001	900000	11	0.02323058758	0.02323058758	-0	0	-0	-41.37247737	23.9251707	29.93036493	2.960294751	-0.1110042967	0.1087521512	-0.01150155684	-41.37203792	23.92474016	29.93041046	2.960287696	0	
5216	1	1300001	900000	11	0.03666147465	0.03666147465	0	-0	0	-35.41776387	17.92786637	35.98531653	2.925625654	0.00746050588	-0.1936598087	0.03538686559	-35.41781431	17.9291758	35.98507726	2.925613302	0	
